eval_loss,eval_model_preparation_time,eval_accuracy,eval_f1,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6213575601577759,0.0031,0.6053921568627451,0.6382022471910113,0.14986390211418565,0.17625598127351086,0.1948908574787187,0.15386225896723127,0.1288658203009297,0.1288658203009297,0.1288658203009297,0.4320010365363007,1.8041,226.146,28.268,0
0.428852379322052,0.0031,0.8333333333333334,0.8831615120274914,0.0496468321949828,0.06860258796380138,0.1435968450137547,0.06008665351306692,0.3239393734062711,0.3239393734062711,0.3239393734062711,0.2665037820745505,2.2305,182.918,22.865,1.0
0.38024774193763733,0.0031,0.8308823529411765,0.8724584103512015,0.02145039421670577,0.08300954743525853,0.06459040987876152,0.04088503239201564,0.33881171283257355,0.33881171283257355,0.33881171283257355,0.23623325636782605,2.3264,175.376,21.922,2.0
0.35174545645713806,0.0031,0.8602941176470589,0.8969258589511754,0.06189123643379584,0.06318365309077006,0.2519739866256714,0.06792931696947883,0.38742976522189565,0.4085946313890756,0.4085946313890756,0.20909295131819816,2.3107,176.571,22.071,3.0
0.6082162857055664,0.0031,0.8578431372549019,0.896797153024911,0.12698958580400427,0.12860585301064464,0.5356579224268596,0.12390996311225143,0.43992809749938355,0.4746034500489008,0.4746034500489008,0.2602954737697254,2.2941,177.846,22.231,4.0
0.6837364435195923,0.0031,0.8651960784313726,0.9043478260869565,0.12280144907680215,0.12392805614988048,0.5920897722244263,0.12130805674721212,0.47184668418988257,0.48133971408522874,0.47727712205996087,0.25242690300121484,2.2775,179.146,22.393,5.0
0.8136385679244995,0.0031,0.8578431372549019,0.8964285714285715,0.1368803409676926,0.13766875348907584,0.7665035724639893,0.1336547580419802,0.46704700670459054,0.4791778393047438,0.487001273627517,0.27091687770870265,2.3051,176.996,22.124,6.0
0.80586838722229,0.0031,0.8676470588235294,0.9025270758122743,0.13053258829841427,0.1332413737888119,0.5001770059267681,0.12164105270423141,0.4405043086279994,0.44558754789065536,0.4801746959063737,0.2578439539878948,2.3093,176.677,22.085,7.0
0.8763136267662048,0.0031,0.8700980392156863,0.9051878354203936,0.12787082995854174,0.1278708583663769,0.4899490475654602,0.12172991271112481,0.44710535061109313,0.4719466556637705,0.482446789608712,0.2544519377122194,2.3499,173.624,21.703,8.0
0.9266451001167297,0.0031,0.8578431372549019,0.8975265017667845,0.13703302337842835,0.13875773191388113,0.5980892181396484,0.13706187524047553,0.4448171577531419,0.4948444372459658,0.4872047857226754,0.27427197743210935,2.2483,181.467,22.683,9.0
0.9102317690849304,0.0031,0.8627450980392157,0.900709219858156,0.13588611416372595,0.1358861152288691,0.8532533645629883,0.12902267423330568,0.4461379390123279,0.4798739979448526,0.4829290122793905,0.2679923251925443,1.8123,225.122,28.14,10.0
