eval_loss,eval_matthews_correlation,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.4702030420303345,0.45808021085661066,0.061441335559234186,10.4098,100.194,3.17,1.0
0.4214895963668823,0.5573099205911544,0.046452828073090105,10.404,100.249,3.172,2.0
0.46615099906921387,0.5390439985632989,0.08011625014238369,10.409,100.202,3.17,3.0
0.45980527997016907,0.544421655829423,0.08107504771516971,10.3994,100.294,3.173,4.0
0.4610278904438019,0.5702308058201745,0.08882079314179753,10.4006,100.283,3.173,5.0
0.4021376967430115,0.5973318437334687,0.06879212786573004,10.3838,100.445,3.178,6.0
0.4209969937801361,0.6001224856623532,0.07601501454785821,10.3929,100.357,3.175,7.0
0.4717837870121002,0.5548848010257114,0.0981707222623999,10.3936,100.351,3.175,8.0
0.5212302207946777,0.5754342635449895,0.11383588864956468,10.4175,100.12,3.168,9.0
0.5281118750572205,0.5785159256958909,0.11578488001315956,10.4154,100.141,3.168,10.0
0.5664534568786621,0.5905535987624345,0.11481088611332133,10.4095,100.197,3.17,11.0
0.4754674434661865,0.6082315244746964,0.09742075027692582,10.4211,100.086,3.167,12.0
0.5108566284179688,0.6032121451400153,0.10513267815398807,10.4136,100.158,3.169,13.0
0.5242326259613037,0.6006236595789939,0.10738308466292298,10.3886,100.398,3.177,14.0
0.6925685405731201,0.5479049761018383,0.14434515018362554,10.4191,100.105,3.167,15.0
0.543828547000885,0.5905230992467433,0.11486559277641466,10.4247,100.05,3.166,16.0
0.5858291387557983,0.5701789905913004,0.1265038884497557,10.3748,100.532,3.181,17.0
0.6289694905281067,0.5880720138805856,0.12981522546175686,10.4105,100.187,3.17,18.0
0.6349453330039978,0.5705518999283685,0.135111149639777,10.4145,100.148,3.169,19.0
0.6074511408805847,0.5804530426643317,0.12629569576890676,10.4205,100.091,3.167,20.0
