eval_loss,eval_accuracy,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.650063157081604,0.6199890170236134,0.029947236346692226,82.9414,65.866,2.062,1.0
0.6424119472503662,0.6251144060040271,0.007843892095989272,83.0821,65.754,2.058,2.0
0.6417270302772522,0.6256635548233571,0.013435734566502256,82.6419,66.104,2.069,3.0
0.6452570557594299,0.628226249313564,0.03750103570244023,82.8051,65.974,2.065,4.0
0.6529358625411987,0.6128500823723229,0.04390838495130921,84.0117,65.027,2.035,5.0
0.650418758392334,0.6243822075782537,0.05149127750546858,84.8615,64.375,2.015,6.0
0.6477275490760803,0.6285923485264506,0.03901484932149696,82.1589,66.493,2.081,7.0
0.6647499799728394,0.6212703642687168,0.060429571520686495,82.9982,65.821,2.06,8.0
0.6603460907936096,0.6251144060040271,0.06030896318585101,81.8679,66.729,2.089,9.0
0.6500159502029419,0.6251144060040271,0.04096503062888027,82.8774,65.917,2.063,10.0
0.6617760062217712,0.6229178107267069,0.06769599714668464,81.598,66.95,2.096,11.0
0.6783313751220703,0.6207212154493867,0.09035717396864455,82.2761,66.398,2.078,12.0
0.6576570272445679,0.6221856123009335,0.061063733093035484,83.4307,65.48,2.05,13.0
0.6872796416282654,0.6060772469339191,0.08521944684858354,87.2147,62.639,1.961,14.0
0.6788158416748047,0.6106534870950028,0.08580774710376075,87.9666,62.103,1.944,15.0
