eval_loss,eval_accuracy,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6509469151496887,0.6185246201720667,0.02203380020682071,88.2752,61.886,1.937,1.0
0.6441655158996582,0.6267618524620172,0.016226900686563968,88.3387,61.841,1.936,2.0
0.6403444409370422,0.6269449020684605,0.010519538675497105,88.3668,61.822,1.935,3.0
0.6438450217247009,0.6249313563975838,0.040814057191649405,88.4381,61.772,1.934,4.0
0.6508733034133911,0.6172432729269632,0.0395961726255171,88.6672,61.612,1.929,5.0
0.6509968638420105,0.6262127036426872,0.05421059117002103,88.747,61.557,1.927,6.0
0.643887996673584,0.6179754713527366,0.034063363127627255,88.495,61.732,1.932,7.0
0.6701656579971313,0.6198059674171701,0.06676342679143671,88.6922,61.595,1.928,8.0
0.652645468711853,0.6196229178107268,0.0525113911544057,87.9612,62.107,1.944,9.0
0.6465466618537903,0.6285923485264506,0.03552062995220399,87.8911,62.156,1.946,10.0
