eval_loss,eval_accuracy,eval_ece,eval_logits_shape_last,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6497368812561035,0.6168771737140765,0.0327385159479749,2,86.7516,62.973,1.971,1.0
0.6422532796859741,0.6258466044298004,0.009418254672837264,2,87.0323,62.77,1.965,2.0
0.6425125002861023,0.6227347611202636,0.016456658404191613,2,85.1811,64.134,2.007,3.0
0.643835723400116,0.6176093721398499,0.039296096200016006,2,85.047,64.235,2.011,4.0
0.6488076448440552,0.6174263225334066,0.03371171501340523,2,86.0507,63.486,1.987,5.0
0.6481534242630005,0.6252974556104705,0.04586515767264886,2,86.3559,63.261,1.98,6.0
0.6471922397613525,0.6236500091524804,0.030201011332055033,2,84.843,64.389,2.015,7.0
0.6613028645515442,0.6223686619073769,0.05686372001376668,2,85.119,64.181,2.009,8.0
0.6506618857383728,0.6221856123009335,0.03984545511399,2,85.8817,63.611,1.991,9.0
0.6557930707931519,0.6249313563975838,0.05175523648392079,2,84.321,64.788,2.028,10.0
0.6595942974090576,0.6190737689913967,0.06135685742174163,2,85.6342,63.795,1.997,11.0
0.6777225732803345,0.6170602233205199,0.09016415276589379,2,85.2191,64.105,2.007,12.0
0.6670432090759277,0.6161449752883031,0.07179892543207567,2,83.5879,65.356,2.046,13.0
0.6787680983543396,0.6084568918176826,0.07291067715815393,2,83.4167,65.49,2.05,14.0
0.6769886612892151,0.6062602965403624,0.0774152640695867,2,82.9116,65.889,2.062,15.0
0.6956813931465149,0.6015010067728355,0.10483264373201123,2,85.6246,63.802,1.997,16.0
0.6936737895011902,0.6229178107267069,0.09759755184116675,2,84.7367,64.47,2.018,17.0
0.7156427502632141,0.6135822807980963,0.12138346817911094,2,84.0875,64.968,2.034,18.0
