eval_loss,eval_accuracy,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.2222238928079605,0.9231651376146789,0.04060630596012147,0.19454948604106903,0.004054751712828875,8.6752,100.517,3.228,1.0
0.22312617301940918,0.9208715596330275,0.04024286178547305,0.17734044790267944,0.015604938380420208,8.6556,100.744,3.235,2.0
0.21763139963150024,0.9311926605504587,0.04229386841211849,0.22373206913471222,0.002171644940972328,8.672,100.553,3.229,3.0
0.24257312715053558,0.9254587155963303,0.04124884204853567,0.14455997943878174,0.00488610053434968,8.6779,100.485,3.227,4.0
0.22889307141304016,0.9311926605504587,0.04471410947655319,0.15129640698432922,0.0028083312790840864,8.6599,100.694,3.233,5.0
0.20576834678649902,0.9380733944954128,0.039581125619214605,0.14716458320617676,-0.0034987619146704674,8.6807,100.452,3.226,6.0
0.19083908200263977,0.9334862385321101,0.03578763181736709,0.14773708581924438,-0.004345580469816923,8.6926,100.316,3.221,7.0
0.22176210582256317,0.9288990825688074,0.04274864077841469,0.12278905510902405,-0.0022293359506875277,8.6861,100.391,3.224,8.0
0.2340095192193985,0.9288990825688074,0.05118662084734765,0.10377343744039536,-0.002216542838141322,8.6827,100.43,3.225,9.0
0.2299085557460785,0.9369266055045872,0.045768462326548465,0.07759032398462296,-0.002958987606689334,8.6741,100.529,3.228,10.0
0.24434815347194672,0.9346330275229358,0.051112923190134385,0.09401150792837143,-0.004571355413645506,8.6618,100.672,3.233,11.0
0.22415675222873688,0.9380733944954128,0.0486973282804183,0.07411038130521774,-0.002396646188572049,8.6775,100.49,3.227,12.0
0.2423466295003891,0.9392201834862385,0.04756195945750685,0.0657072439789772,-0.0018032882362604141,8.6789,100.474,3.226,13.0
0.2520124018192291,0.9380733944954128,0.05200751371886752,0.07407217472791672,-0.0026852907612919807,8.66,100.693,3.233,14.0
0.2567349076271057,0.9392201834862385,0.05124786749072028,0.0540349967777729,-0.0022925883531570435,8.6637,100.65,3.232,15.0
