eval_loss,eval_accuracy,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.2039453387260437,0.9323394495412844,0.03285333773958571,8.8006,99.084,3.182,1.0
0.20249129831790924,0.9369266055045872,0.03602823690263501,8.794,99.159,3.184,2.0
0.21490663290023804,0.9334862385321101,0.045873579970740395,8.7943,99.155,3.184,3.0
0.21047917008399963,0.9311926605504587,0.03673786403389152,8.7911,99.192,3.185,4.0
0.2150198519229889,0.9323394495412844,0.04401334101727245,8.8005,99.085,3.182,5.0
0.2040424644947052,0.9369266055045872,0.04086191671977353,8.7887,99.218,3.186,6.0
0.2546135485172272,0.9334862385321101,0.04955067123294975,8.7796,99.321,3.189,7.0
0.19200001657009125,0.9369266055045872,0.04368977364870384,8.7942,99.157,3.184,8.0
0.22663719952106476,0.9369266055045872,0.045153236990674875,8.7888,99.217,3.186,9.0
0.23700577020645142,0.9334862385321101,0.0518640866246792,8.7851,99.258,3.187,10.0
0.18633726239204407,0.9426605504587156,0.03864732528224994,8.7872,99.236,3.186,11.0
0.23381812870502472,0.9323394495412844,0.04957762804873489,8.795,99.148,3.184,12.0
0.20474453270435333,0.9438073394495413,0.04004319292416265,8.7993,99.098,3.182,13.0
0.2654664218425751,0.9380733944954128,0.051442497503866855,8.7984,99.109,3.182,14.0
0.20410051941871643,0.9461009174311926,0.03959239048695348,8.7933,99.166,3.184,15.0
0.23837262392044067,0.9426605504587156,0.0464185053875687,8.7853,99.256,3.187,16.0
0.20737387239933014,0.9311926605504587,0.046921227981737985,8.792,99.181,3.185,17.0
0.20653772354125977,0.9392201834862385,0.042246263645110915,8.7829,99.283,3.188,18.0
0.20849008858203888,0.9392201834862385,0.03793977652121026,8.7909,99.193,3.185,19.0
0.17940621078014374,0.944954128440367,0.037066566766402034,8.7936,99.163,3.184,20.0
0.2201792150735855,0.9426605504587156,0.037628598169449266,8.795,99.148,3.184,21.0
0.22706393897533417,0.9380733944954128,0.04680665165459344,8.7904,99.199,3.185,22.0
0.21888987720012665,0.9426605504587156,0.0462526093245646,8.7958,99.139,3.183,23.0
0.253307968378067,0.9403669724770642,0.051227533010714685,8.7915,99.187,3.185,24.0
0.21637405455112457,0.948394495412844,0.04234765353826203,8.7988,99.104,3.182,25.0
0.19987323880195618,0.9438073394495413,0.039393108577356464,8.8007,99.083,3.182,26.0
0.23672254383563995,0.9461009174311926,0.045030978431395405,8.7952,99.145,3.184,27.0
0.2606261670589447,0.9403669724770642,0.05050517844224191,8.806,99.023,3.18,28.0
0.24409295618534088,0.9392201834862385,0.04890078839358937,8.8032,99.055,3.181,29.0
0.25680211186408997,0.9461009174311926,0.042434555948327415,8.7927,99.174,3.184,30.0
0.2742495536804199,0.9415137614678899,0.05077462274273606,8.7924,99.177,3.185,31.0
0.2436426877975464,0.9438073394495413,0.04989610277458073,8.7972,99.122,3.183,32.0
0.30066078901290894,0.9357798165137615,0.055738183199812545,8.7879,99.228,3.186,33.0
