eval_loss,eval_accuracy,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6509469151496887,0.6185246201720667,0.02203380020682071,88.2752,61.886,1.937,1.0
0.6441655158996582,0.6267618524620172,0.016226900686563968,88.3387,61.841,1.936,2.0
0.6403444409370422,0.6269449020684605,0.010519538675497105,88.3668,61.822,1.935,3.0
0.6438450217247009,0.6249313563975838,0.040814057191649405,88.4381,61.772,1.934,4.0
0.6508733034133911,0.6172432729269632,0.0395961726255171,88.6672,61.612,1.929,5.0
0.6509968638420105,0.6262127036426872,0.05421059117002103,88.747,61.557,1.927,6.0
0.643887996673584,0.6179754713527366,0.034063363127627255,88.495,61.732,1.932,7.0
0.6701656579971313,0.6198059674171701,0.06676342679143671,88.6922,61.595,1.928,8.0
0.652645468711853,0.6196229178107268,0.0525113911544057,87.9612,62.107,1.944,9.0
0.6465466618537903,0.6285923485264506,0.03552062995220399,87.8911,62.156,1.946,10.0
0.6564298272132874,0.6252974556104705,0.05470960542393235,89.1773,61.26,1.918,11.0
0.6912518739700317,0.6126670327658795,0.10522420931578162,88.7079,61.584,1.928,12.0
0.6700109243392944,0.6128500823723229,0.08017762132164935,88.6036,61.657,1.93,13.0
0.6812083125114441,0.6033315028372689,0.08285813453366375,87.7271,62.273,1.949,14.0
0.6791191101074219,0.6079077429983526,0.08443924778659505,87.3162,62.566,1.958,15.0
0.708062469959259,0.5996705107084019,0.11784283640880888,88.1638,61.964,1.94,16.0
0.7007531523704529,0.615046677649643,0.11000657298725079,88.0068,62.075,1.943,17.0
0.7260689735412598,0.6066263957532492,0.12882451232745712,87.952,62.113,1.944,18.0
0.7335737347602844,0.5938129233022149,0.13262643399265645,88.3467,61.836,1.936,19.0
0.7170657515525818,0.6022332051986088,0.12038278098554152,87.7732,62.24,1.948,20.0
0.7092809677124023,0.5998535603148453,0.11539999511943247,88.0578,62.039,1.942,21.0
0.7321449518203735,0.604429800475929,0.13637211154542866,86.9189,62.852,1.967,22.0
0.7361536622047424,0.5976569650375252,0.13809355849554616,87.861,62.178,1.946,23.0
0.7334383726119995,0.6004027091341754,0.13653794640742356,88.4455,61.767,1.933,24.0
0.7371422052383423,0.6015010067728355,0.13545840739680148,82.1745,66.48,2.081,25.0
