eval_loss,eval_model_preparation_time,eval_accuracy,eval_ece,eval_classwise_ece,eval_mce,eval_ace,eval_thresholded_ace_01,eval_thresholded_ace_001,eval_thresholded_ace_0001,eval_brier_score,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.6949117183685303,0.0094,0.5091743119266054,0.03302130622601296,0.03302129132485174,0.03302130622601296,0.05874217390467266,0.045334587676809465,0.045334587676809465,0.045334587676809465,0.5017573076323001,1.3155936062769769e-10,0.0192123856395483,9.8992,88.088,2.829,0
0.22283731400966644,0.0094,0.9185779816513762,0.022826984866496626,0.041725736532206514,0.10561686754226685,0.023597635055353883,0.437299123564194,0.4466209051502578,0.4466209051502578,0.12937958680036482,1.443159619585188e-10,0.020439980551600456,10.2181,85.339,2.74,1.0
0.20675191283226013,0.0094,0.9254587155963303,0.02213265774173475,0.026484237877019774,0.20445464849472045,0.028163768624493823,0.45130164324638944,0.45805091884707044,0.45805091884707044,0.11582426788030718,1.9954408958522407e-10,0.02681099809706211,10.2018,85.475,2.745,2.0
0.20388711988925934,0.0094,0.930045871559633,0.03315870395494163,0.03461303291981184,0.177133161681039,0.034525659789732814,0.43534902679899695,0.46524615020707527,0.4665507933740619,0.11024827840963665,3.007869509019656e-10,0.042148709297180176,10.2579,85.008,2.73,3.0
0.20281271636486053,0.0094,0.9243119266055045,0.037364650141755405,0.03918174897756327,0.2180216709772746,0.039698470076289745,0.4503279389754853,0.46967685836049033,0.46967685836049033,0.11281096785511734,2.3708915386499996e-10,0.0319894440472126,10.2052,85.447,2.744,4.0
0.18520697951316833,0.0094,0.9323394495412844,0.02260813991957849,0.025622908643301606,0.12197487751642866,0.027934100308002675,0.43677569878799416,0.46057368332767595,0.46754734010522153,0.10293124728521078,3.660147740447428e-10,0.04701610282063484,10.238,85.172,2.735,5.0
0.21195228397846222,0.0094,0.9311926605504587,0.042811985614649786,0.04281199551903039,0.2541917988232204,0.03836680798355592,0.4580093586328821,0.4574807959914259,0.4762411090872306,0.10690182365089285,3.967978445817977e-10,0.05093507841229439,10.3095,84.582,2.716,6.0
0.18698996305465698,0.0094,0.9392201834862385,0.03358248785274833,0.03358251713173584,0.30381732327597477,0.025602557380265054,0.454815062268286,0.4710574638781484,0.4710574638781484,0.10110076157560874,4.625206884156796e-10,0.06270013004541397,10.228,85.256,2.738,7.0
0.23361429572105408,0.0094,0.930045871559633,0.046771991690364424,0.046835004287150296,0.2406096687683692,0.04544236839091013,0.47226267747554057,0.467006266582686,0.48515199082438965,0.11811494683946352,4.523551810908799e-10,0.06184084340929985,10.2191,85.33,2.74,8.0
0.22751770913600922,0.0094,0.9380733944954128,0.043529805787112706,0.04516491729022783,0.2583682179450989,0.04289422772072871,0.4625756991724439,0.48568393040152197,0.485573077180269,0.10746595446881044,4.933629615955226e-10,0.064125657081604,10.2161,85.356,2.741,9.0
0.21614907681941986,0.0094,0.930045871559633,0.0404730691412173,0.045859382933202214,0.3167595664660136,0.03880757906841575,0.4465282665165894,0.47436783927694415,0.4766291704163951,0.11351173043274387,5.618687737296568e-10,0.07022956758737564,10.1891,85.582,2.748,10.0
0.20968252420425415,0.0094,0.9403669724770642,0.035089795674205955,0.03937714168942884,0.176122376995702,0.03323830281375745,0.45962840498498614,0.4668112220413798,0.4816810502576585,0.10110383579606587,5.706605743505122e-10,0.06861601024866104,10.2597,84.992,2.729,11.0
